編號,行政區,轄區分隊,巷道地點,寬度,長度
455,三峽區,隆恩分隊,長福街,寬度：3.5m,長度：60m
456,三峽區,隆恩分隊,文化路146巷,寬度：2m,長度：110m
457,三峽區,隆恩分隊,和平街29巷,寬度：3.5m,長度：140m
458,三峽區,隆恩分隊,秀川街,寬度：2m,長度：150m
459,三峽區,三峽分隊,介壽路二段38巷,2.8~3不等,200
460,鶯歌區,鶯歌分隊,中正三路210巷,2.3~3不等,120
461,鶯歌區,鳳鳴分隊,中正一路223巷,3,120
462,鶯歌區,鳳鳴分隊,大湖路460巷,4,120
463,鶯歌區,鳳鳴分隊,大湖路468巷,4,120
464,鶯歌區,鶯歌分隊,育英街6巷,2.3,130
465,汐止區,汐止分隊,建成路142巷45弄,2.4~2.6,100
466,汐止區,汐止分隊,龍安路2巷,1.6-2.2,110
467,汐止區,汐止分隊,茄苳路282巷,2.4~3.2,160
468,汐止區,汐止分隊,復興路31號至51號,3.2~3.3,70
469,汐止區,社后分隊,光復街7、8巷,2.1~3,2KM
470,汐止區,橫科分隊,橫科路18巷,3~6不等,200
471,汐止區,橫科分隊,宜興街10巷,3~5不等,100
472,汐止區,橫科分隊,宜興街20巷,3~5不等,100
473,汐止區,橫科分隊,宜興街30巷,3~5不等,40
474,汐止區,橫科分隊,林森街69巷,3~5不等,10
475,汐止區,橫科分隊,民權街二段81巷,3~5不等,70
476,汐止區,橫科分隊,合順街13巷,3~7不等,130
477,汐止區,橫科分隊,合順街18巷,3~5不等,110
478,汐止區,橫科分隊,弘道街53巷19弄,3~5不等,70
479,汐止區,橫科分隊,汐止區橫科路52巷14弄,寬度：3.9米,長度：60米
480,瑞芳區,瑞芳分隊,明燈路三段50巷,3.3M,70M
481,瑞芳區,瑞芳分隊,岳王路一巷,3.5M,200M
482,瑞芳區,瑞芳分隊,三爪子坑路91巷,3.5M,長度約：200M
483,瑞芳區,瑞芳分隊,三爪子坑路47巷,2M,長度約：140M
484,瑞芳區,瑞芳分隊,三爪子坑路149巷,3.1M,長度約：120M
485,瑞芳區,瑞芳分隊,三爪子坑路111巷,2.5M,長度約：150M
486,瑞芳區,瑞芳分隊,三爪子坑路32巷,3.6M,長度約：180M
487,瑞芳區,瑞芳分隊,東和路80～104號,2.8M,長度約：200M
488,瑞芳區,瑞芳分隊,三爪子坑路13巷,3.6M,長度約：125M
489,瑞芳區,瑞芳分隊,岳王路41～125號,3.7M,長度約：125M
490,瑞芳區,瑞芳分隊,岳王路72～162號,2.7M,長度約：150M
491,瑞芳區,瑞亭分隊,大埔路103巷,2.06~3.8公尺不等,138公尺
492,瑞芳區,九份分隊,新山路,3.4-8公尺,1000公尺
493,金山區,金山分隊,溫泉路2巷,3~4m,150m
494,金山區,金山分隊,金包里街,3-5m,600m
495,金山區,金山分隊,民生路51巷,3M,130M
496,萬里區,萬里分隊,龜吼里漁澳62號之2旁巷弄,2.3,180
497,萬里區,萬里分隊,野柳里港東111號旁巷弄,2.2,150
498,萬里區,萬里分隊,大鵬里加投288號旁巷弄,2.2,180
499,萬里區,萬里分隊,大鵬里加投287之14號旁巷弄,2.2,200
500,石門區,石門分隊,老梅村公地,2.4~3.9,1200
501,中和區,南勢分隊,中興街115巷1弄,寬度：1.5米~6米,長度：115米
502,中和區,南勢分隊,中興街175巷,寬度：3米,長度：170米
503,中和區,南勢分隊,中興街233巷8弄,寬度：4米,長度：135米
504,中和區,南勢分隊,秀朗路三段60巷,寬度：3.1米~4.7米,長度：240米
505,中和區,南勢分隊,忠孝街11巷,寬度：3.8米4米,長度：145米
506,中和區,南勢分隊,忠孝街101巷11弄,寬度：4米,長度：83米
507,中和區,南勢分隊,保健路29巷,寬度：2-4.2米,長度：135米
508,中和區,南勢分隊,復興路280巷18弄,寬度：1米,長度：150米
509,中和區,南勢分隊,復興路280巷46弄,寬度：1.5米,長度：65米
510,中和區,南勢分隊,景平路92巷(單號),寬度：2.5米,長度：110米
511,中和區,南勢分隊,景平路111巷9弄,寬度：3.5米6米,長度：230米
512,中和區,南勢分隊,景平路151巷9弄,寬度：3.1米~3.8米,長度：100米
513,中和區,南勢分隊,景平路155巷,寬度：3米,長度：130米
514,中和區,南勢分隊,景平路159巷35弄,寬度：3米,長度：140米
515,中和區,南勢分隊,景平路221巷,寬度：2.9米,長度：104米
516,中和區,南勢分隊,景安路208巷,寬度：2米,長度：250米
517,中和區,南勢分隊,景新街418巷,寬度：2.2-3.6米,長度：490米
518,中和區,南勢分隊,景新街423巷35弄,寬度：5米,長度：115米
519,中和區,南勢分隊,景新街496巷,寬度：3.9-4.5米,長度：580米
520,中和區,南勢分隊,華新街50巷,寬度：2.2-3.9米,長度：230米
521,中和區,南勢分隊,華新街143巷57弄,寬度：2.5米,長度：80米
522,中和區,南勢分隊,華新街143巷106弄,寬度：2.9米,長度：166米
523,中和區,南勢分隊,興南路二段34巷55弄,寬度：2.8米,長度：106米
524,中和區,員山分隊,中山路二段242巷,寬度：3-5.5,長度：100
525,中和區,員山分隊,中山路二段523巷2弄,寬度：4-8,長度：100
526,中和區,員山分隊,中山路二段596巷,寬度：4-6,長度：120
527,中和區,員山分隊,民樂路80巷,寬度：2.5-4,長度：100
528,中和區,員山分隊,員山路226巷,3.3公尺,200公尺
529,中和區,員山分隊,員山路486巷,寬度：1.5-4,長度：120
530,中和區,員山分隊,連城路109巷,寬度：3.3-7,長度：220
531,中和區,員山分隊,連城路347巷6弄,寬度：4.1米,長度：200米
532,中和區,員山分隊,連城路347巷18弄,寬度：3.3-5.5,長度：250
533,中和區,員山分隊,圓通路252巷5弄,寬度：4.1米,長度：150米
534,中和區,員山分隊,圓通路265巷,寬度：4.1米-5米,長度：200米
535,中和區,員山分隊,圓通路393巷19弄,寬度：4米-6米,長度：100
536,中和區,員山分隊,福祥路85巷2弄,寬度：4.7米,長度：100米
537,中和區,國光分隊,中山路三段20～30號,寬度：2米,長度：108米
538,中和區,國光分隊,中山路三段170巷4弄,寬度：3.5米,長度：100米
539,中和區,國光分隊,中山路三段170巷8弄,寬度：3.5米,長度：100米
540,中和區,國光分隊,民生街35巷,寬度：3.5-5米,長度：100米
541,中和區,國光分隊,民安街111巷,寬度：2.4米,長度：120米
542,中和區,國光分隊,民享街97巷,寬度：3.5-5.5米,長度：105米
543,中和區,國光分隊,民治街2巷,寬度：1~2米,長度：120米
544,中和區,國光分隊,國光街112巷,寬度：3.5-6米,長度：250米
545,中和區,國光分隊,國光街215巷10弄,寬度：3.5-5米,長度：150米
546,永和區,永和分隊,大新街73巷,寬度：1.2米-4米,長度：120米
547,永和區,永和分隊,中正路654巷,寬度：2.8米,長度：120米
548,永和區,永和分隊,中正路662巷,寬度：4.4-2.8米,長度：120米
549,永和區,永和分隊,中正路666巷,寬度：4.4-2.8米,長度：150米
550,永和區,永和分隊,中正路724巷,寬度：1.2米,長度：100米
551,永和區,永和分隊,中正路732巷,寬度：1.2米,長度：100米
552,永和區,永和分隊,中興街10巷,寬度：2.7-3.3米,長度：220米
553,永和區,永和分隊,永安街,寬度：2.6米-6米,長度：300米
554,永和區,永和分隊,永安街4巷,寬度：1.2米,長度：120米
555,永和區,永和分隊,永利路7巷,寬度：4-2.8米,長度：120米
556,永和區,永和分隊,永利路10巷,寬度：3.5米,長度：100米
557,永和區,永和分隊,永利路36巷,寬度：2.8米,長度：100米
558,永和區,永和分隊,永和路二段276巷,寬度：1.4-2米,長度：100米
559,永和區,永和分隊,光復街2巷11弄,寬度：1.2米-4米,長度：100米
560,永和區,永和分隊,安樂路272巷,寬度：1.5米-4米,長度：150米
561,永和區,永和分隊,竹林路39巷19弄,寬度：2.2米,長度：150米
562,永和區,永和分隊,竹林路39巷32弄,寬度：4.4-1.6米,長度：100米
563,永和區,永和分隊,竹林路75巷,寬度：2.4米-8米,長度：150米
564,永和區,永和分隊,竹林路75巷4弄,寬度：1.5米,長度：100米
565,永和區,永和分隊,竹林路75巷25弄,寬度：1.5米-3.5米,長度：100米
566,永和區,永和分隊,竹林路91巷47弄,寬度：1米-2.2米,長度：100米
567,永和區,永和分隊,竹林路119巷,寬度：2.2-1.6米,長度：250米
568,永和區,永和分隊,竹林路124巷,寬度：3.9-4.4米,長度：200米
569,永和區,永和分隊,竹林路213巷,2.7-3.6米,長度：220米
570,永和區,永和分隊,保慶街,寬度：1.8米-2.3米,長度：150米
571,永和區,永和分隊,復興街,寬度：3.5米,長度：150米
572,永和區,永和分隊,福和路183巷,寬度：3.6-4米,長度：100米
573,永和區,永和分隊,福和路237巷,寬度：3.5米,長度：150米
574,永和區,永和分隊,福和路245巷,寬度：1.2米,長度：100米
575,永和區,永和分隊,豫溪街28巷,寬度：1.2-2.4米,長度：120米
576,永和區,永和分隊,豫溪街42巷,寬度：1.8米-2.7米,長度：120米
577,永和區,永和分隊,豫溪街52巷,寬度：2.4米,長度：100米
578,永和區,永和分隊,豫溪街74巷7弄,寬度：2.8米,長度：100米
579,永和區,永利分隊,中正路151巷8弄,寬度：2.2-1.6米,長度：250米
580,永和區,永利分隊,中正路412巷4弄,寬度：2.4米-3.5米,長度：150米
581,永和區,永利分隊,中正路428巷30弄,寬度：1.6-3.2米,長度：100米
582,永和區,永利分隊,四維街,寬度：2.2-4.6米,長度：120米
583,永和區,永利分隊,民生路47巷12弄,寬度：2.4-4.5米,長度：100米
584,永和區,永利分隊,民享街23巷,寬度：2.8米-4.5米,長度：150米
585,永和區,永利分隊,民治街72巷,寬度：2.8-4.5米,長度：100米
586,永和區,永利分隊,民族街43巷,寬度：3.1-4.5米,長度：100米
587,永和區,永利分隊,民族街49巷,寬度：2.5-4.6米,長度：100米
588,永和區,永利分隊,民樂街25巷,寬度：2.3-4.3米,長度：100米
589,永和區,永利分隊,民樂街55巷,寬度：3.5米,長度：150米
590,永和區,永利分隊,民樂街73巷,寬度：1.2米-4.4米,長度：100米
591,永和區,永利分隊,民樂街75巷,寬度：2.9米-4.5米,長度：300米
592,永和區,永利分隊,民樂街92巷,寬度：2.6-4.1米,長度：150米
593,永和區,永利分隊,永貞路39巷4弄,寬度：1米-2.2米,長度：100米
594,永和區,永利分隊,成功路一段38巷,寬度：1.5米-3.5米,長度：100米
595,永和區,永利分隊,秀朗路二段82巷5弄,寬度：1.9-4.3米,長度：100米
596,永和區,永平分隊,仁愛路141巷,寬度：1.2~6.3,長度：223
597,永和區,永平分隊,文化路9巷16弄,寬度：1.8~2.7,長度：124
598,永和區,永平分隊,文化路9巷22弄,寬度：1.9,長度：120
599,永和區,永平分隊,文化路9巷30弄,寬度：1.9,長度：114
600,永和區,永平分隊,文化路16巷5弄,寬度：1.6,長度：148
601,永和區,永平分隊,文化路90巷32弄,寬度：2.7米,長度：100米
602,永和區,永平分隊,文化路126巷,寬度：1.9~4.2,長度：103
603,永和區,永平分隊,文化路144巷,寬度：1.6~2.2,長度：192
604,永和區,永平分隊,永平路173巷,寬度：3,長度：147
605,永和區,永平分隊,永和路一段111巷6弄,寬度：2.5~3米,長度：100米
606,永和區,永平分隊,永和路二段231巷,寬度：2.5~3.5,長度：137
607,永和區,永平分隊,和平街93巷,寬度：1.7~2.2米,長度：100米
608,永和區,永平分隊,和平街95巷,寬度：1.5~1.7,長度：128
609,永和區,永平分隊,保福路一段23巷,寬度：2~3.3米,長度：98米
610,永和區,永平分隊,保福路一段35巷,寬度：1.5~3.2米,長度：113米
611,永和區,永平分隊,保福路二段16巷,寬度：1.9~3.6,長度：199
612,永和區,永和分隊,復興街54巷8號,3-4,
613,永和區,永平分隊,保福路二段158巷,寬度：1.4~3.1,長度：111
614,永和區,永平分隊,保福路二段163巷13弄,寬度：3,長度：107
